Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,412.000000,416.350006,411.649994,413.600006,413.600006,869426
2022-12-02,414.700012,414.700012,409.100006,412.350006,412.350006,345369
2022-12-05,412.500000,415.000000,410.750000,412.350006,412.350006,230495
2022-12-06,409.799988,412.500000,407.750000,411.200012,411.200012,319251
2022-12-07,408.500000,409.450012,405.200012,406.450012,406.450012,111264
2022-12-08,406.500000,407.899994,403.250000,403.700012,403.700012,353000
2022-12-09,404.600006,406.000000,391.350006,394.049988,394.049988,346332
2022-12-12,393.500000,397.450012,388.000000,395.950012,395.950012,316792
2022-12-13,399.000000,399.399994,396.100006,397.649994,397.649994,117703
2022-12-14,400.299988,404.500000,399.250000,399.950012,399.950012,127562
2022-12-15,400.000000,400.000000,394.149994,395.350006,395.350006,204350
2022-12-16,393.000000,394.799988,388.350006,389.700012,389.700012,605573
2022-12-19,389.850006,390.500000,385.799988,389.000000,389.000000,143620
2022-12-20,389.049988,389.950012,383.200012,388.850006,388.850006,177553
2022-12-21,390.250000,393.350006,388.000000,389.649994,389.649994,128004
2022-12-22,389.350006,392.049988,386.000000,388.700012,388.700012,549280
2022-12-23,383.299988,385.899994,377.000000,377.649994,377.649994,259851
